176,1506532776
177,1506532795
175,1506532814
174,1506532833
174,1506532852
173,1506532871
173,1506532890
174,1506532909
172,1506532928
170,1506532948
170,1506532967
169,1506532986
169,1506533005
170,1506533024
170,1506533043
169,1506533062
167,1506533081
168,1506533101
167,1506533120
295,1506533139
294,1506533158
291,1506533177
283,1506533196
294,1506533216
296,1506533235
297,1506533254
296,1506533273
298,1506533292
297,1506533311
298,1506533330
298,1506533349
299,1506533368
299,1506533387
299,1506533407
299,1506533426
300,1506533445
300,1506533464
300,1506533483
182,1506533502
181,1506533521
181,1506533540
181,1506533560
181,1506533579
181,1506533598
182,1506533617
180,1506533636
181,1506533655
180,1506533675
181,1506533693
181,1506533712
181,1506533731
181,1506533750
181,1506533769
181,1506533788
181,1506533807
181,1506533826
183,1506533845
183,1506533865
184,1506533884
182,1506533903
183,1506533922
182,1506533941
183,1506533960
182,1506533979
182,1506533998
182,1506534017
182,1506534037
181,1506534055
181,1506534075
181,1506534094
183,1506534113
182,1506534132
182,1506534151
181,1506534171
183,1506534190
182,1506534209
182,1506534228
182,1506534247
182,1506534266
182,1506534285
75,1506534305
74,1506534324
74,1506534343
74,1506534362
75,1506534381
75,1506534400
74,1506534419
74,1506534438
74,1506534457
74,1506534476
75,1506534496
73,1506534515
74,1506534534
74,1506534553
75,1506534572
74,1506534591
74,1506534610
74,1506534629
74,1506534648
74,1506534667
74,1506534686
201,1506534706
202,1506534725
2071,1506534744
196,1506534763
194,1506534785
193,1506534801
197,1506534820
196,1506534840
198,1506534859
198,1506534878
198,1506534897
198,1506534917
194,1506534936
195,1506534955
195,1506534974
194,1506534993
194,1506535012
193,1506535031
193,1506535051
194,1506535070
193,1506535089
74,1506535108
74,1506535127
74,1506535147
74,1506535166
74,1506535185
75,1506535204
74,1506535223
73,1506535242
74,1506535262
74,1506535280
74,1506535300
74,1506535319
74,1506535338
74,1506535357
74,1506535376
74,1506535395
74,1506535414
75,1506535434
74,1506535453
74,1506535472
74,1506535491
73,1506535510
74,1506535529
73,1506535548
74,1506535567
74,1506535586
75,1506535605
74,1506535624
74,1506535643
74,1506535663
74,1506535682
74,1506535701
73,1506535720
74,1506535739
74,1506535758
74,1506535777
73,1506535797
75,1506535816
74,1506535835
74,1506535854
74,1506535873
75,1506535892
74,1506535911
74,1506535930
74,1506535950
74,1506535969
74,1506535988
74,1506536007
75,1506536026
73,1506536045
74,1506536064
74,1506536083
74,1506536103
75,1506536122
74,1506536141
74,1506536160
74,1506536179
76,1506536198
76,1506536217
202,1506536236
201,1506536255
197,1506536274
194,1506536294
194,1506536313
191,1506536332
192,1506536351
192,1506536370
194,1506536389
194,1506536409
193,1506536428
193,1506536447
193,1506536466
190,1506536485
191,1506536504
192,1506536523
192,1506536542
191,1506536562
74,1506536581
74,1506536600
74,1506536619
74,1506536638
74,1506536657
74,1506536676
74,1506536695
73,1506536715
74,1506536754
74,1506536772
74,1506536794
75,1506536811
74,1506536830
74,1506536848
73,1506536867
74,1506536887
74,1506536905
74,1506536925
75,1506536944
